scenario_name,lambda_execution,objective_name,method_name,method_family,strategy,metric_value,objective_rank
dataco_high,0.341,max_period_plan_change_pct,Best Stability,Baseline,best_stability_model,0.184,2
dataco_high,0.341,max_period_plan_change_pct,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,0.226,3
dataco_high,0.341,max_period_plan_change_pct,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,0.226,3
dataco_high,0.341,max_period_plan_change_pct,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,0.383,5
dataco_high,0.341,max_period_plan_change_pct,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,0.526,6
dataco_high,0.341,max_period_plan_change_pct,Stability-Aware,Baseline,stability_aware_selector,0.531,7
dataco_high,0.341,max_period_plan_change_pct,Simple Ensemble,ReferenceEnsemble,simple_ensemble,0.578,8
dataco_high,0.341,max_period_plan_change_pct,Feasibility-Aware,Baseline,feasibility_aware_selector,0.581,9
dataco_high,0.341,max_period_plan_change_pct,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,0.598,10
dataco_high,0.341,max_period_plan_change_pct,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,0.606,11
dataco_high,0.341,max_period_plan_change_pct,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,0.632,12
dataco_high,0.341,max_period_plan_change_pct,Best Inventory,Baseline,best_inventory_cost_model,0.764,13
dataco_high,0.341,max_period_plan_change_pct,Family Best,Baseline,family_best_model,0.764,13
dataco_high,0.341,max_period_plan_change_pct,Global Best,Baseline,global_best_model,0.764,13
dataco_high,0.341,max_period_plan_change_pct,Oracle,Oracle,oracle_realized_demand,1.351,16
